Property_Type,Sub_Type,Square_Feet,Bathrooms,Bedrooms,Stories,Year_Built,Listing_Price,Price_per_SqFt,Property_Age
single_family,,1046,2,2,1,1995,190000,181.6443595,31
land,,1650,0,,,,22900,13.87878788,2026
single_family,,1564,2,4,1,2025,259900,166.1764706,1
single_family,,1638,2,3,1,1979,325000,198.4126984,47
single_family,,2128,3,4,1,2020,409680,192.518797,6
single_family,,1043,2,3,1,1981,59900,57.43048897,45
single_family,,1635,2,4,1,1975,249900,152.8440367,51
single_family,,2875,4,4,2,2025,698000,242.7826087,1
single_family,,2328,2,4,,1973,284900,122.3797251,53
condos,condo,922,2,2,1,1973,74500,80.80260304,53
single_family,,1524,2,2,1,1954,250000,164.0419948,72
condos,condo,1109,2,2,,2006,395500,356.6275924,20
single_family,,1831,3,3,1,2000,372000,203.1676679,26
condos,condo,650,1,1,7,1999,160000,246.1538462,27
single_family,,2628,3,4,2,,341749,130.0414764,2026
single_family,,1432,2,2,1,1900,189000,131.9832402,126
single_family,,1248,2,3,1,2000,139000,111.3782051,26
single_family,,2013,3,4,1,1970,165000,81.96721311,56
single_family,,1455,2,2,,,299900,206.1168385,2026
land,,1456,0,,,,49000,33.65384615,2026
single_family,,1457,1,3,1,1965,65000,44.61221688,61
single_family,,1458,2,3,2,1987,375000,257.2016461,39
single_family,,1459,4,4,,2023,265000,181.6312543,3
land,,1460,0,,,,3800,2.602739726,2026
single_family,,1582,2,3,1,2023,442000,279.3931732,3
condos,condo,1100,2,2,1,1982,339000,308.1818182,44
single_family,,1777,2,3,1,1977,142100,79.96623523,49
single_family,,1800,3,3,2,2002,499000,277.2222222,24
single_family,,2290,2,3,,1970,185000,80.7860262,56
single_family,,1006,2,2,1,1950,85000,84.49304175,76
single_family,,3157,3,5,2,1967,499500,158.219829,59
single_family,,1248,2,3,1,1979,1175000,941.5064103,47
single_family,,1509,2,3,,,610000,404.2412194,2026
single_family,,2771,3,4,1,1998,475000,171.4182606,28
single_family,,1613,2,2,2,,595000,368.8778673,2026
single_family,,1680,3,4,1,,364900,217.202381,2026
land,,1680,0,,,,64990,38.68452381,2026
single_family,,2140,4,4,2,,519645,242.8247664,2026
single_family,,3251,4,4,,,1099000,338.0498308,2026
multi_family,,6200,,16,,1959,895000,144.3548387,67
single_family,,3057,4,4,,1997,399900,130.814524,29
single_family,,1872,3,4,2,1997,789000,421.474359,29
single_family,,2221,3,4,2,2017,225000,101.3057181,9
single_family,,1075,1,3,1,1973,79900,74.3255814,53
single_family,,4960,7,5,2,2007,639000,128.8306452,19
single_family,,1672,3,3,2,1989,315000,188.3971292,37
single_family,,2705,2,5,2,1947,159900,59.11275416,79
single_family,,2324,3,4,2,2012,609000,262.0481928,14
single_family,,2933,3,5,2,2000,510000,173.8833958,26
single_family,,730,1,2,1,1980,95000,130.1369863,46
single_family,,1383,2,2,,,399900,289.154013,2026
condos,condo,581,1,1,7,1987,110000,189.3287435,39
single_family,,2544,3,4,1,2005,1095000,430.4245283,21
condos,condo,1242,2,2,1,2005,275000,221.4170692,21
land,,2544,0,,,,20000,7.86163522,2026
single_family,,1242,1,2,,1949,374500,301.5297907,77
single_family,,2638,4,4,2,2015,825000,312.7369219,11
condos,condo,623,1,1,,1983,125000,200.6420546,43
single_family,,3150,4,4,2,2002,725000,230.1587302,24
single_family,,1830,2,3,,2025,329990,180.3224044,1
land,,2544,0,,,,594000,233.490566,2026
single_family,,1242,1,1,,1897,68400,55.07246377,129
condos,condo,651,1,1,1,1952,299000,459.2933948,74
single_family,,3000,3,3,,1983,114750,38.25,43
single_family,,1700,2,3,1,1970,199900,117.5882353,56
land,,1700,0,,,,90000,52.94117647,2026
single_family,,1244,2,3,1,2017,309500,248.7942122,9
condos,condo,1250,2,2,1,1994,315000,252,32
single_family,,5385,6,5,3,2014,3950000,733.5190344,12
townhomes,townhouse,1266,2,2,1,1988,245000,193.5229068,38
single_family,,1904,5,4,2,1996,825000,433.2983193,30
single_family,,1543,2,3,1,1996,239900,155.4763448,30
single_family,,1561,2,3,1,1900,220000,140.9352979,126
condos,condo,1342,3,3,1,1995,499900,372.5037258,31
land,,1342,0,,,,51000,38.00298063,2026
condos,condo,755,2,2,1,1980,105000,139.0728477,46
single_family,,1408,2,2,1,,310000,220.1704545,2026
single_family,,2357,3,4,1,1960,288000,122.1892236,66
single_family,,1833,2,4,,1940,190000,103.65521,86
single_family,,955,3,4,2,1986,275000,287.9581152,40
land,,2023,0,,,,100000,49.43153732,2026
single_family,,955,1,2,1,1950,145000,151.8324607,76
single_family,,2023,2,3,2,1990,265000,130.9935739,36
single_family,,2200,2,3,2,1986,275000,125,40
single_family,,2881,3,4,1,1987,389900,135.3349531,39
single_family,,1672,2,3,1,,302900,181.1602871,2026
single_family,,2065,2,3,1,2014,375000,181.598063,12
single_family,,1138,5,3,1,1984,161900,142.2671353,42
single_family,,2312,3,4,1,1989,378000,163.4948097,37
single_family,,2800,2,4,2,1900,440000,157.1428571,126
single_family,,1138,2,3,1,1968,64900,57.02987698,58
single_family,,2594,3,4,1,1968,295000,113.7239784,58
single_family,,1161,2,3,,1978,199900,172.1791559,48
single_family,,1130,2,3,,1983,165000,146.0176991,43
single_family,,3215,4,4,1,1980,860000,267.496112,46
single_family,,1449,2,3,1,1992,239900,165.5624569,34
land,,955,0,,,,130000,136.1256545,2026
single_family,,2023,6,4,,1998,3600000,1779.535344,28
single_family,,3448,3,4,2,,794900,230.5394432,2026
single_family,,5543,7,8,2,2024,569900,102.8143605,2
single_family,,864,2,2,1,2025,219000,253.4722222,1
land,,3448,,,,,74998,21.75116009,2026
single_family,,5543,3,5,1,1968,405000,73.06512719,58
single_family,,1509,2,2,1,1986,179900,119.2180252,40
single_family,,1514,2,3,1,2007,195000,128.7978864,19
single_family,,1128,1,3,1,1958,99900,88.56382979,68
single_family,,2967,,4,2,,397990,134.1388608,2026
single_family,,1808,,3,2,,297990,164.8174779,2026
single_family,,2080,2,3,1,1999,425000,204.3269231,27
single_family,,1667,3,3,2,1991,270000,161.9676065,35
single_family,co_op,2667,2,3,,1939,220000,82.48968879,87
single_family,,2671,3,3,1,2008,1450000,542.8678398,18
condos,condo,1038,1,2,1,1958,219900,211.849711,68
single_family,,1235,2,3,1,,199900,161.8623482,2026
single_family,,2225,3,3,2,2022,307000,137.9775281,4
single_family,,2216,2,4,,1952,109000,49.18772563,74
single_family,,1492,2,3,1,1997,268000,179.6246649,29
single_family,,2250,2,3,1,2002,575000,255.5555556,24
single_family,,2317,3,5,2,,284900,122.9607251,2026
single_family,,950,1,2,1,,120000,126.3157895,2026
single_family,,1500,1,4,1,,65000,43.33333333,2026
single_family,,2432,2,5,2,1955,349900,143.8733553,71
single_family,,872,1,2,,1959,139000,159.4036697,67
single_family,,1926,3,3,2,1980,229900,119.3665628,46
land,,1650,,,,,45900,27.81818182,2026
single_family,,1781,3,4,2,2025,309311,173.6726558,1
single_family,,1498,3,3,1,1968,265000,176.9025367,58
single_family,,1483,2,3,1,2006,259900,175.2528658,20
land,,1650,0,,,,20500,12.42424242,2026
land,,1650,0,,,,56320,34.13333333,2026
single_family,,1650,2,3,1,2025,249900,151.4545455,1
single_family,,624,1,1,,1907,110000,176.2820513,119
single_family,,2397,3,5,2,2005,265000,110.5548602,21
single_family,,2181,2,3,1,1960,249900,114.5804677,66
single_family,,1400,2,3,1,1972,199000,142.1428571,54
single_family,,3599,3,3,1,1987,685000,190.3306474,39
single_family,,1174,1,2,,1932,129000,109.8807496,94
single_family,,2168,3,4,2,2010,369900,170.6180812,16
single_family,,1710,2,3,,1958,180000,105.2631579,68
single_family,,998,1,2,1,1946,205000,205.4108216,80
condos,condo,1300,2,3,,1982,119990,92.3,44
single_family,,1769,2,3,1,1987,345000,195.0254381,39
single_family,,1960,2,3,2,,340000,173.4693878,2026
land,,1650,,,,,129000,78.18181818,2026
land,,1650,0,,,,7000,4.242424242,2026
single_family,,2900,4,4,2,1994,465000,160.3448276,32
townhomes,townhouse,1334,3,2,2,1984,570000,427.2863568,42
single_family,,1247,2,2,,,385000,308.7409783,2026
single_family,,1110,1,2,,1915,125000,112.6126126,111
condos,condo,760,2,1,1,1989,115000,151.3157895,37
farm,,2893,2,4,2,1941,600000,207.3971656,85
single_family,,2100,2,2,1,,349000,166.1904762,2026
townhomes,townhouse,1272,2,2,1,2007,375000,294.8113208,19
single_family,,2007,3,4,2,1992,469000,233.6821126,34
single_family,,1556,2,3,,,750000,482.0051414,2026
single_family,,1828,3,3,2,,314500,172.0459519,2026
single_family,,4052,5,6,2,2017,800000,197.4333662,9
single_family,,1227,2,3,1,1967,239900,195.5175224,59
single_family,,1186,2,3,1,1900,190000,160.2023609,126
single_family,,1038,2,2,1,1962,95000,91.522158,64
single_family,,2339,3,4,1,2025,358490,153.2663531,1
single_family,,2083,2,4,2,1938,285000,136.8218915,88
single_family,,2218,3,3,,2025,499999,225.4278629,1
single_family,,2608,3,4,2,1972,319900,122.6610429,54
single_family,,1840,3,3,2,1977,1750000,951.0869565,49
single_family,,4781,6,6,1,1995,995000,208.115457,31
single_family,,1727,2,3,1,1969,275600,159.5830921,57
single_family,,3000,3,5,2,2012,365000,121.6666667,14
single_family,,4461,5,5,,1989,805000,180.4528133,37
single_family,,1766,2,4,1,1988,294000,166.4779162,38
single_family,,3100,3,3,2,1900,424900,137.0645161,126
single_family,,2506,2,3,1,1978,334900,133.6392658,48
single_family,,1250,2,3,,1970,144900,115.92,56
condos,condo,1403,2,2,1,2006,239900,170.9907341,20
single_family,,1650,3,4,2,2025,362230,219.5333333,1
single_family,,1544,2,3,1,1979,197000,127.5906736,47
townhomes,,1674,3,3,2,,229999,137.3948626,2026
land,,1650,0,,,,22500,13.63636364,2026
condos,condo,777,1,1,1,2000,250000,321.7503218,26
land,,1650,0,,,,75000,45.45454545,2026
single_family,,1650,2,3,1,1981,308000,186.6666667,45
land,,1650,0,,,,30000,18.18181818,2026
land,,1650,0,,,,25000,15.15151515,2026
condos,condo,1312,2,3,1,2001,299900,228.5823171,25
single_family,,2300,2,4,1,1958,557900,242.5652174,68
land,,1650,0,,,,69000,41.81818182,2026
land,,1650,0,,,,25000,15.15151515,2026
single_family,,2648,3,5,2,2020,435000,164.2749245,6
single_family,,1001,1,2,1,1950,350000,349.6503497,76
land,,1650,0,,,,300000,181.8181818,2026
single_family,,1118,1,3,1,,120000,107.3345259,2026
land,,1650,0,,,,35000,21.21212121,2026
land,,1650,,,,,49000,29.6969697,2026
land,,1650,,,,,17500,10.60606061,2026
condos,condo,2337,3,4,1,2007,425000,181.8570817,19
single_family,,2511,4,5,2,2022,357500,142.3735564,4
land,,1650,,,,,298000,180.6060606,2026
single_family,,2906,3,3,,1999,484999,166.895733,27
land,,1650,0,,,,35000,21.21212121,2026
